Edges, Generation, Pheromone
fg, 1, 0.591921
rs, 1, 0.414315
ln, 1, 0.557444
tv, 1, 0.599891
fi, 1, 0.654936
pu, 1, 0.527666
rw, 1, 0.467876
bh, 1, 0.467876
pv, 1, 0.490099
ya, 1, 0.699288
ju, 1, 0.527666
yf, 1, 0.649521
jy, 1, 0.713648
bw, 1, 0.467876
od, 1, 0.669765
oj, 1, 0.669765
ie, 1, 0.504441
kj, 1, 0.552703
ml, 1, 0.616746
qp, 1, 0.555631
cd, 1, 0.986394
ad, 1, 0.871750
eh, 1, 0.467876
qv, 1, 0.555631
gn, 1, 0.557444
gr, 1, 0.477133
kv, 1, 0.552703
mx, 1, 0.616746
ta, 1, 0.599891
es, 1, 0.414315
iz, 1, 0.720149
ax, 1, 0.616746
cz, 1, 0.986394
lf, 1, 0.615255
fg, 2, 0.481026
rs, 2, 0.322725
ln, 2, 0.473329
tv, 2, 0.581679
fi, 2, 0.580426
pu, 2, 0.424918
rw, 2, 0.307327
bh, 2, 0.307327
pv, 2, 0.401199
ya, 2, 0.806843
ju, 2, 0.424918
yf, 2, 0.575995
jy, 2, 0.715886
bw, 2, 0.307327
od, 2, 0.666890
oj, 2, 0.666890
ie, 2, 0.348298
kj, 2, 0.545450
ml, 2, 0.673969
qp, 2, 0.386084
cd, 2, 1.573409
ad, 2, 1.416921
eh, 2, 0.307327
qv, 2, 0.386084
gn, 2, 0.473329
gr, 2, 0.376129
kv, 2, 0.545450
mx, 2, 0.673969
ta, 2, 0.581679
es, 2, 0.322725
iz, 2, 0.663494
ax, 2, 0.673969
cz, 2, 1.573409
lf, 2, 0.643477
fg, 3, 0.359555
rs, 3, 0.179950
ln, 3, 0.299906
tv, 3, 0.582275
fi, 3, 0.597138
pu, 3, 0.313149
rw, 3, 0.122858
bh, 3, 0.122858
pv, 3, 0.398436
ya, 3, 0.732806
ju, 3, 0.313149
yf, 3, 0.556865
jy, 3, 0.799069
bw, 3, 0.122858
od, 3, 0.683175
oj, 3, 0.683175
ie, 3, 0.180297
kj, 3, 0.595516
ml, 3, 0.597208
qp, 3, 0.309641
cd, 3, 2.455976
ad, 3, 2.386019
eh, 3, 0.122858
qv, 3, 0.309641
gn, 3, 0.299906
gr, 3, 0.186124
kv, 3, 0.595516
mx, 3, 0.597208
ta, 3, 0.582275
es, 3, 0.179950
iz, 3, 0.646088
ax, 3, 0.597208
cz, 3, 2.455976
lf, 3, 0.557359
fg, 4, 0.194015
rs, 4, 0.052355
ln, 4, 0.199153
tv, 4, 0.445679
fi, 4, 0.262327
pu, 4, 0.188655
rw, 4, 0.029707
bh, 4, 0.029707
pv, 4, 0.290148
ya, 4, 0.630508
ju, 4, 0.188655
yf, 4, 0.423737
jy, 4, 0.665211
bw, 4, 0.029707
od, 4, 0.492675
oj, 4, 0.492675
ie, 4, 0.052407
kj, 4, 0.442474
ml, 4, 0.282821
qp, 4, 0.187142
cd, 4, 3.315389
ad, 4, 3.304896
eh, 4, 0.029707
qv, 4, 0.187142
gn, 4, 0.199153
gr, 4, 0.053281
kv, 4, 0.442474
mx, 4, 0.282821
ta, 4, 0.445679
es, 4, 0.052355
iz, 4, 0.295033
ax, 4, 0.282821
cz, 4, 3.315389
lf, 4, 0.301581
fg, 5, 0.057799
rs, 5, 0.019006
ln, 5, 0.058569
tv, 5, 0.107281
fi, 5, 0.143724
pu, 5, 0.060698
rw, 5, 0.015608
bh, 5, 0.015608
pv, 5, 0.126016
ya, 5, 0.354432
ju, 5, 0.060698
yf, 5, 0.166266
jy, 5, 0.316326
